date, min, max, pm25, q1, q3, stdev, count
2020/04/29, 0.75, 6.06, 1.65, 1.27, 2.16, 1.043, 418
2020/04/30, 0.8, 16.6, 3.38, 2.36, 4.22, 1.75, 447
2020/05/01, 0.12, 6.32, 0.84, 0.48, 2.17, 1.57, 465
2020/05/02, 0.45, 4.59, 1.56, 1.2, 1.91, 0.576, 453
2020/05/03, 0.85, 11.93, 2.38, 1.72, 2.78, 1.033, 472
2020/05/04, 0.15, 92.36, 0.64, 0.34, 2.25, 5.451, 439
2020/05/05, 0.2, 2.25, 0.85, 0.45, 1.39, 0.501, 405
2020/05/06, 0.82, 13.42, 2.09, 1.65, 3.13, 2.288, 489
2020/05/07, 0.69, 8.53, 2.9, 1.62, 4.17, 1.77, 334
2020/05/08, 1.91, 14.89, 6.47, 4.65, 8.91, 2.719, 308
2020/05/09, 0.1, 14.78, 7.9, 2.63, 9.71, 4.28, 300
2020/05/10, 0.31, 2.95, 0.86, 0.64, 1.25, 0.489, 204
2020/05/11, 0.15, 2.06, 0.76, 0.64, 0.89, 0.234, 292
2020/05/12, 0.02, 43.96, 0.7, 0.46, 1.1, 2.895, 403
2020/05/13, 0.24, 3.72, 0.61, 0.5, 0.8, 0.461, 399
2020/05/14, 0, 6.82, 0.4, 0.14, 0.62, 0.609, 385
2020/05/15, 0.2, 13.38, 0.5, 0.4, 0.65, 1.091, 447
2020/05/16, 0.15, 13.02, 0.5, 0.36, 0.64, 1.087, 271
2020/05/17, 0.08, 10.3, 0.86, 0.45, 1.34, 2.07, 441
2020/05/18, 0.08, 16.42, 0.98, 0.35, 1.64, 3.642, 389
2020/05/19, 0.1, 5.75, 0.98, 0.35, 1.65, 0.877, 445
2020/05/20, 0.4, 11.88, 3.09, 1.25, 7.22, 3.598, 450
2020/05/21, 0.4, 7.3, 1.57, 1.05, 3.14, 1.431, 426
2020/05/22, 0.62, 20.39, 2.7, 1.71, 10.88, 5.046, 455
2020/05/23, 0, 3.06, 0.3, 0.2, 0.8, 0.583, 422
2020/05/24, 0, 16.87, 0.93, 0.6, 1.58, 1.289, 428
2020/05/25, 0.55, 5.79, 1.4, 1.05, 1.8, 0.617, 440
2020/05/26, 0.1, 4.43, 1.33, 1.02, 1.73, 0.635, 405
2020/05/27, 0.85, 9.93, 1.75, 1.5, 2.15, 0.886, 419
2020/05/28, 0.85, 29.87, 2.29, 1.83, 3.83, 2.347, 431
2020/05/29, 1, 12.95, 2.95, 2.17, 6.55, 2.727, 437
2020/05/30, 0.55, 5.05, 1.9, 1.48, 2.54, 0.802, 459
2020/05/31, 0.43, 6.57, 2.04, 1.37, 3.54, 1.423, 413
2020/06/01, 0.15, 5.6, 1, 0.5, 2.1, 1.052, 400
2020/06/02, 0, 5.05, 1.19, 0.7, 2.38, 1.205, 420
2020/06/03, 0.1, 2.83, 0.73, 0.55, 1.04, 0.395, 368
2020/06/04, 0, 38.54, 0.6, 0.3, 0.95, 2.009, 427
2020/06/05, 0, 13.62, 0.46, 0.22, 1.05, 1.384, 362
2020/06/06, 0.1, 4.65, 0.9, 0.5, 1.45, 0.69, 398
2020/06/07, 0.1, 3.9, 1, 0.5, 1.7, 0.795, 440
2020/06/08, 0.15, 3.8, 0.65, 0.5, 0.85, 0.374, 427
2020/06/09, 0.3, 6.12, 1, 0.64, 1.84, 0.98, 404
2020/06/10, 0.5, 16.73, 2.17, 1.55, 2.67, 1.151, 422
2020/06/11, 0.5, 6.9, 1.65, 1.05, 2.9, 1.185, 455
2020/06/12, 1.2, 11, 4.8, 2.99, 6.19, 2.074, 468
2020/06/13, 2.33, 26.25, 13.6, 7.95, 16.77, 4.836, 446
2020/06/14, 6.6, 24.2, 12.68, 10.65, 14.87, 3.005, 303
2020/06/15, 6.65, 23.17, 13.3, 10.95, 15.2, 3.151, 459
2020/06/16, 0.1, 20.37, 2.09, 0.93, 6.68, 4.086, 463
2020/06/17, 2.6, 17.7, 5.55, 4.59, 6.57, 2.885, 447
2020/06/18, 3.03, 20.85, 7.22, 5.67, 8.69, 2.709, 417
2020/06/19, 2.52, 21.9, 7.95, 6.1, 11.12, 3.319, 393
2020/06/20, 0.3, 19.6, 3.54, 1.1, 7.74, 4.703, 472
2020/06/21, 0, 8.23, 3.27, 1.05, 5.32, 2.344, 472
2020/06/22, 0.3, 4.87, 1.87, 1.37, 2.33, 0.751, 455
2020/06/23, 0, 5.62, 0.55, 0.3, 0.98, 0.651, 464
2020/06/24, 0.73, 8.94, 1.7, 1.3, 2.58, 1.657, 472
2020/06/25, 1.3, 9.1, 3.94, 2.74, 5.43, 1.774, 460
2020/06/26, 2.8, 135.77, 7.03, 5.75, 8.25, 7.713, 462
2020/06/27, 1.25, 25.67, 8.85, 5.75, 15.43, 5.694, 429
2020/06/28, 0.1, 2.75, 0.5, 0.3, 0.75, 0.431, 380
2020/06/29, 0.1, 3.83, 0.6, 0.32, 1.05, 0.461, 405
2020/06/30, 0.2, 3.4, 1.1, 0.8, 1.6, 0.644, 395
2020/07/01, 0.22, 2.6, 0.73, 0.5, 1.3, 0.518, 383
2020/07/02, 0.15, 4.45, 0.6, 0.42, 0.93, 0.503, 384
2020/07/03, 0.2, 4.97, 0.8, 0.5, 1.27, 0.644, 398
2020/07/04, 0.2, 5.43, 0.55, 0.4, 0.8, 0.774, 418
2020/07/05, 0, 2.67, 0.1, 0.1, 0.2, 0.241, 396
2020/07/06, 0, 2.29, 0.5, 0.25, 0.8, 0.383, 238
2020/07/07, 0, 2.8, 0.37, 0.2, 0.69, 0.462, 376
2020/07/08, 0.2, 3.47, 0.55, 0.43, 0.7, 0.345, 376
2020/07/09, 0.4, 9.77, 1.02, 0.7, 1.27, 0.76, 400
2020/07/10, 0, 6.95, 0.32, 0.2, 0.68, 0.535, 380
2020/07/11, 0, 7.65, 0.2, 0.1, 0.6, 0.692, 299
2020/07/12, 0.1, 3.37, 0.3, 0.21, 0.65, 0.4, 364
2020/07/13, 0, 4.43, 0.45, 0.2, 1.21, 0.682, 365
2020/07/14, 0, 1.6, 0.2, 0.1, 0.3, 0.213, 379
2020/07/15, 0.1, 3.37, 0.6, 0.4, 1.1, 0.655, 300
2020/07/16, 0.1, 3.22, 0.7, 0.43, 0.95, 0.44, 275
2020/07/17, 0, 4.59, 0.3, 0.1, 0.6, 0.527, 407
2020/07/18, 0.08, 4.15, 0.5, 0.3, 0.65, 0.407, 384
2020/07/19, 0.1, 12.07, 0.95, 0.68, 1.35, 1.915, 142
2020/07/20, 0, 2.27, 0.24, 0.2, 0.35, 0.283, 166
2020/07/21, 0.1, 2.35, 0.3, 0.25, 0.45, 0.254, 235
2020/07/22, 0.3, 7.82, 1.08, 0.6, 2.9, 1.973, 237
2020/07/23, 0.2, 16.37, 1.13, 0.75, 4.51, 4.2, 264
2020/07/24, 0.1, 4.12, 0.6, 0.3, 1.2, 0.753, 333
2020/07/25, 0.6, 5.85, 3.62, 1.75, 4.48, 1.538, 72
2020/07/26, 0, 9.63, 0.6, 0.3, 1.5, 0.977, 370
2020/07/27, 0, 9.88, 0.93, 0.5, 1.33, 1.843, 239
2020/07/28, 0, 2.15, 0.4, 0.2, 0.65, 0.315, 359
2020/07/29, 0, 8.8, 0.3, 0.1, 0.52, 1.203, 282
2020/07/30, 0.1, 22.17, 0.9, 0.43, 4.72, 3.061, 354
2020/07/31, 1.8, 20.88, 5.12, 3.6, 7.4, 4.567, 355
2020/08/01, 0.2, 12.8, 1.95, 1.3, 6.25, 3.466, 352
2020/08/02, 0.1, 999.9, 0.9, 0.3, 2, 54.855, 354
2020/08/03, 0.1, 24.17, 0.5, 0.4, 0.73, 1.536, 353
2020/08/04, 0.17, 11.48, 1.17, 0.43, 2.25, 1.362, 390
2020/08/05, 0, 21.75, 0.54, 0.3, 1.1, 1.202, 424
2020/08/06, 0.17, 12.9, 0.7, 0.42, 2, 1.59, 324
2020/08/07, 0.1, 7.9, 0.92, 0.65, 2.1, 1.289, 426
2020/08/08, 0.2, 36.92, 0.7, 0.5, 1.05, 2.893, 389
2020/08/09, 0.3, 10.48, 1.23, 0.75, 2.25, 1.612, 430
2020/08/10, 0.82, 9.35, 2.15, 1.62, 3.25, 1.717, 431
2020/08/11, 4.78, 89.2, 8.48, 6.97, 12.37, 5.134, 431
2020/08/12, 0.4, 62.58, 9.15, 2.47, 14.5, 8.252, 439
2020/08/13, 1.75, 16.64, 4.03, 3.1, 6.12, 2.458, 443
2020/08/14, 1.75, 10.32, 4.2, 3.47, 5.35, 1.374, 393
2020/08/15, 0.56, 30.92, 3.78, 2.1, 8.82, 4.254, 446
2020/08/16, 0.3, 8.32, 0.85, 0.6, 1.48, 0.882, 441
2020/08/17, 0.3, 15.38, 6.75, 3.84, 10.94, 3.958, 436
2020/08/18, 1.92, 160.63, 10.9, 7.93, 13.48, 8.48, 438
2020/08/19, 2.58, 26.55, 10.7, 8, 14.3, 4.47, 430
2020/08/20, 1.25, 49.13, 3.6, 2.93, 5.24, 10.283, 433
2020/08/21, 0.3, 6.8, 2.31, 1, 3.65, 1.641, 424
2020/08/22, 0.15, 3.15, 0.85, 0.5, 1.2, 0.498, 400
2020/08/23, 0, 2.95, 0.3, 0.2, 0.5, 0.322, 412
2020/08/24, 0.1, 103.2, 0.4, 0.3, 0.6, 5.908, 366
2020/08/25, 0.1, 10.25, 3.15, 0.7, 5.95, 2.634, 378
2020/08/26, 0.3, 13.65, 1.33, 0.9, 2.1, 1.228, 385
2020/08/27, 0.2, 11.45, 0.7, 0.47, 1.1, 0.933, 431
2020/08/28, 0.1, 14.35, 0.5, 0.32, 0.7, 0.793, 390
2020/08/29, 0.1, 4.3, 0.54, 0.43, 0.73, 0.344, 398
2020/08/30, 0.17, 23.5, 0.8, 0.56, 1.17, 1.544, 402
2020/08/31, 0.2, 5.18, 0.9, 0.6, 1.3, 0.561, 393
2020/09/01, 0.4, 4.25, 1.5, 1.07, 2.02, 0.699, 344
2020/09/02, 0.8, 13.57, 2.33, 1.65, 3.4, 1.528, 402
2020/09/03, 0, 9.77, 0.9, 0.4, 1.48, 1.282, 400
2020/09/04, 0.1, 3.85, 0.77, 0.4, 1.3, 0.653, 404
2020/09/05, 0.08, 112.55, 0.6, 0.47, 0.82, 6.568, 399
2020/09/06, 0.3, 2.75, 0.85, 0.68, 1.14, 0.42, 401
2020/09/07, 0, 1.98, 0.25, 0.1, 0.5, 0.367, 381
2020/09/08, 0, 1.6, 0.3, 0.2, 0.4, 0.224, 338
2020/09/09, 0, 2.65, 0.65, 0.4, 1.17, 0.623, 348
2020/09/10, 0.45, 7.15, 1.42, 1.2, 1.75, 0.569, 305
2020/09/11, 0.1, 3.25, 0.7, 0.4, 1.3, 0.674, 280
2020/09/12, 0.25, 5.22, 1.25, 0.9, 1.7, 0.855, 270
2020/09/13, 0, 2.75, 0.3, 0.2, 0.55, 0.493, 316
2020/09/14, 0.5, 4.59, 1.3, 0.87, 1.74, 0.6, 264
2020/09/15, 1.33, 19.85, 3.1, 2.4, 3.94, 2.136, 233
2020/09/16, 0.3, 1.67, 0.62, 0.56, 0.89, 0.304, 33
2020/09/17, 0.13, 3.33, 1.1, 0.79, 1.55, 0.595, 144
2020/09/18, 0.5, 154.07, 1.73, 1.48, 2.1, 8.979, 293
2020/09/19, 0.2, 11, 1.08, 0.6, 1.6, 1.489, 281
2020/09/20, 0.2, 7.3, 0.95, 0.6, 1.34, 0.728, 221
2020/09/21, 0.2, 4.55, 0.7, 0.5, 1.4, 0.807, 203
2020/09/22, 0, 7.72, 1.2, 0.88, 1.9, 1.571, 302
2020/09/23, 0, 144.3, 0.25, 0.1, 0.43, 10.282, 386
2020/09/24, 0.1, 3.3, 0.52, 0.35, 0.77, 0.371, 395
2020/09/25, 0.1, 2.83, 0.65, 0.4, 1.05, 0.476, 305
2020/09/26, 0.2, 5.55, 1.89, 1.37, 2.33, 0.793, 250
2020/09/27, 0.8, 3.87, 1.59, 1.35, 2, 0.567, 202
2020/09/28, 0.47, 4.22, 1.27, 1.1, 1.77, 0.557, 245
2020/09/29, 0.2, 5.87, 0.85, 0.52, 1.33, 0.853, 239
2020/09/30, 0.1, 12.55, 3.6, 2.33, 5.72, 2.947, 338
2020/10/01, 0.1, 3.35, 0.62, 0.36, 1.02, 0.536, 277
2020/10/02, 0.1, 10.5, 1.14, 0.6, 2.85, 1.669, 255
2020/10/03, 0.5, 31.83, 3.17, 1, 20.64, 9.971, 245
2020/10/04, 0.98, 29.2, 6.5, 4.93, 15.55, 7.126, 283
2020/10/05, 1.7, 6.53, 3.08, 2.6, 3.62, 0.819, 294
2020/10/06, 0.2, 9.4, 1.98, 0.45, 3.58, 1.874, 302
2020/10/07, 0, 15.35, 0.3, 0.2, 0.45, 0.965, 306
2020/10/08, 0.1, 1.83, 0.4, 0.3, 0.52, 0.311, 286
2020/10/09, 0, 2.52, 0.28, 0.13, 0.4, 0.317, 309
2020/10/10, 0, 1.75, 0.37, 0.2, 0.6, 0.32, 363
2020/10/11, 0, 4.22, 0.5, 0.3, 0.73, 0.531, 374
2020/10/12, 0.1, 3.55, 0.6, 0.34, 1.1, 0.626, 297
2020/10/13, 0.1, 3.08, 0.93, 0.6, 1.45, 0.625, 365
2020/10/14, 0.35, 3.2, 1.21, 0.9, 1.6, 0.531, 352
2020/10/15, 0.15, 326.67, 0.5, 0.31, 0.7, 21.843, 356
2020/10/16, 0.2, 3.03, 0.8, 0.6, 0.95, 0.337, 374
2020/10/17, 0, 2.37, 0.4, 0.2, 0.6, 0.312, 375
2020/10/18, 0.03, 7.85, 0.65, 0.3, 1.95, 1.826, 383
2020/10/19, 2.54, 22.8, 9.05, 7.02, 13.74, 4.731, 376
