date, pm25, pm10, o3, no2, so2, co
2024/10/30, 5, 4, , 3, , 
2024/10/31, 4, 3, , 3, , 
2024/11/1, 6, 6, , 8, , 
2024/11/2, 20, 3, , 7, , 
2024/11/3, 7, 11, , 9, , 
2024/11/4, 29, 27, , 13, , 
2024/11/5, 67, 20, , 13, , 
2024/11/6, 51, 9, , 8, , 
2024/11/7, 17, 22, , 7, , 
2024/11/8, 50, 21, , 10, , 
2024/11/9, 64, 12, , 8, , 
2024/11/10, 40, 15, , 14, , 
2024/11/11, 31, 11, , 18, , 
2024/11/12, 29, 4, , 6, , 
2024/11/13, 10, 7, , 16, , 
2024/11/14, 15, 2, , 4, , 
2024/11/15, 4, 8, , 5, , 
2024/11/16, 20, 6, , 10, , 
2024/11/17, 16, 9, , 20, , 
2024/11/18, 22, 7, , 11, , 
2024/11/19, 14, 6, , 10, , 
2024/11/20, 11, 4, , 7, , 
2024/11/21, 7, 4, , 15, , 
2024/11/22, 12, 5, , 9, , 
2024/11/23, 15, 7, , 4, , 
2024/11/24, 17, 6, , 3, , 
2024/11/25, 13, 9, , 16, , 
2024/11/26, 16, 16, , 13, , 
2024/11/27, 22, 10, , 23, , 
2024/11/28, 24, 8, , 21, , 
2024/11/29, 21, 2, , 6, , 
2024/11/30, 7, 2, , 5, , 
2024/12/1, 7, 5, , 11, , 
2024/12/2, 9, 8, , 14, , 
2024/12/3, 16, 6, , 13, , 
2024/12/4, 14, 7, , 9, , 
2024/12/5, 16, 8, , 8, , 
2024/12/6, 18, 3, , 8, , 
2024/12/7, 5, 8, , 9, , 
2024/12/8, 11, 11, , 15, , 
2024/12/9, 18, 12, , 24, , 
2024/12/10, 31, 9, , 17, , 
2024/12/11, 35, 7, , 15, , 
2024/12/12, 27, 5, , 13, , 
2024/12/13, 15, 4, , 7, , 
2024/12/14, 10, 1, , 2, , 
2024/12/15, 3, 4, , 3, , 
2024/12/16, 11, 4, , 7, , 
2024/12/17, 11, 3, , 6, , 
2024/12/18, 7, 4, , 10, , 
2024/12/19, 8, 5, , 7, , 
2024/12/20, 12, 7, , 3, , 
2024/12/21, 18, 6, , 3, , 
2024/12/22, 15, 6, , 11, , 
2024/12/23, 14, 1, , 4, , 
2024/12/24, 2, 1, , 3, , 
2024/12/25, 3, 3, , 11, , 
2024/12/26, 11, 2, , 12, , 
2024/12/27, 8, 2, , 5, , 
2024/12/28, 5, 5, , 2, , 
2024/12/29, 12, , , , , 
2024/7/1, 32, 35, , 3, , 
2024/7/2, 32, 38, , 3, , 
2024/7/3, 26, 23, , 1, , 
2024/7/4, 24, 12, , 2, , 
2024/7/5, 17, 5, , 3, , 
2024/7/6, 10, 3, , 2, , 
2024/7/7, 8, 7, , 3, , 
2024/7/8, 10, 14, , 1, , 
2024/7/9, 20, 5, , 6, , 
2024/7/10, 6, 6, , 6, , 
2024/7/11, 12, 5, , 3, , 
2024/7/12, 8, 5, , 1, , 
2024/7/13, 12, 7, , 3, , 
2024/7/14, 17, 13, , 4, , 
2024/7/15, 27, 15, , 3, , 
2024/7/16, 36, 15, , 3, , 
2024/7/17, 17, 18, , 3, , 
2024/7/18, 19, 30, , 3, , 
2024/7/19, 22, 5, , 3, , 
2024/7/20, 8, 5, , 2, , 
2024/7/21, 11, 6, , 2, , 
2024/7/22, 13, 11, , 3, , 
2024/7/23, 19, 17, , 4, , 
2024/7/24, 21, 19, , 3, , 
2024/7/25, 19, 9, , 3, , 
2024/7/26, 16, 6, , 4, , 
2024/7/27, 16, 5, , 1, , 
2024/7/28, 13, 19, , 4, , 
2024/7/29, 20, 23, , 2, , 
2024/7/30, 25, 18, , 2, , 
2024/7/31, 29, 19, , 7, , 
2024/8/1, 27, 49, , 5, , 
2024/8/2, 39, 13, , 2, , 
2024/8/3, 25, 7, , 2, , 
2024/8/4, 15, 11, , 3, , 
2024/8/5, 9, 83, , 3, , 
2024/8/6, 48, 187, , 3, , 
